종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
139480,이마트,"116,300","-1,300",1.11,"8,451,068,400","3,241,957,749,700"
020150,일진머티리얼즈,"61,700",-600,0.96,"11,605,436,600","2,845,038,519,500"
271940,일진하이솔루스,"31,550",-250,0.79,"1,447,433,550","1,145,681,144,500"
030000,제일기획,"20,200",-100,0.49,"8,500,796,400","2,323,832,745,000"
185750,종근당,"81,000",800,1,"1,489,831,200","1,018,045,584,000"
013890,지누스,"30,650",-800,2.54,"2,447,258,150","579,305,719,400"
035720,카카오,"61,800",-700,1.12,"83,198,042,100","27,532,779,105,000"
323410,카카오뱅크,"25,250",-300,1.17,"32,367,959,550","12,037,448,584,250"
377300,카카오페이,"61,100",-500,0.81,"23,913,852,900","8,167,922,236,500"
381970,케이카,"12,190",-20,0.16,"3,225,644,500","586,174,837,270"
192820,코스맥스,"80,900",-100,0.12,"4,601,834,500","918,175,278,100"
120110,코오롱인더,"46,700","-1,100",2.3,"4,657,362,050","1,285,141,549,700"
021240,코웨이,"53,500",-400,0.74,"14,796,401,100","3,948,279,616,500"
284740,쿠쿠홈시스,"29,550",100,0.34,"413,719,900","663,023,101,500"
259960,크래프톤,"172,500","-1,700",0.98,"31,410,676,000","8,493,432,525,000"
039490,키움증권,"106,100","-1,000",0.93,"4,090,587,200","2,781,890,329,300"
003240,태광산업,"786,000","-10,000",1.26,"623,963,000","875,132,400,000"
028670,팬오션,"6,620",50,0.76,"34,869,362,340","3,538,850,169,440"
047050,포스코인터내셔널,"24,200",350,1.47,"23,879,232,300","4,257,331,469,600"
003670,포스코케미칼,"215,500","-2,000",0.92,"125,413,921,500","16,693,323,910,000"
103140,풍산,"35,750",-600,1.65,"6,293,595,600","1,001,867,938,500"
086790,하나금융지주,"45,300",100,0.22,"37,507,265,350","13,404,427,462,800"
039130,하나투어,"60,900",-200,0.33,"3,331,062,700","976,786,366,500"
352820,하이브,"183,200","-4,500",2.4,"42,040,999,500","7,575,940,498,400"
000080,하이트진로,"24,850",0,0,"2,094,387,300","1,742,820,233,350"
036460,한국가스공사,"31,200",500,1.63,"8,674,947,300","2,880,165,600,000"
071050,한국금융지주,"60,100",-100,0.17,"5,371,978,600","3,349,132,119,200"
000240,한국앤컴퍼니,"13,430",-70,0.52,"486,628,980","1,274,980,273,200"
015760,한국전력,"18,360",90,0.49,"17,640,829,800","11,786,460,453,720"
009540,한국조선해양,"85,400",100,0.12,"13,923,765,900","6,044,024,106,400"
161890,한국콜마,"41,800",0,0,"1,446,885,800","956,433,324,000"
161390,한국타이어앤테크놀로지,"37,750",-650,1.69,"8,417,891,850","4,676,283,854,750"
047810,한국항공우주,"46,500",250,0.54,"76,246,469,000","4,532,592,475,500"
008930,한미사이언스,"32,700",-450,1.36,"3,418,288,200","2,287,591,938,000"
128940,한미약품,"261,000","-2,500",0.95,"5,359,781,500","3,278,723,238,000"
009240,한샘,"45,750",-850,1.82,"1,280,775,800","1,076,677,206,000"
020000,한섬,"26,650",-50,0.19,"1,728,427,050","656,389,500,000"
105630,한세실업,"17,330",150,0.87,"2,012,473,630","693,200,000,000"
014680,한솔케미칼,"199,800","-6,200",3.01,"13,899,370,200","2,264,771,961,000"
018880,한온시스템,"9,170",-60,0.65,"5,507,164,625","4,894,946,000,000"
009420,한올바이오파마,"15,740",-180,1.13,"1,622,258,750","822,267,642,120"
300720,한일시멘트,"12,070",-30,0.25,"821,268,000","835,986,787,800"
051600,한전KPS,"33,050",-250,0.75,"2,294,117,700","1,487,250,000,000"
052690,한전기술,"64,000",-100,0.16,"10,564,245,500","2,446,080,000,000"
180640,한진칼,"44,600","2,400",5.69,"15,892,269,300","2,977,576,101,600"
000880,한화,"27,450",-50,0.18,"2,298,038,350","2,057,617,275,750"
088350,한화생명,"2,835",25,0.89,"13,915,767,640","2,462,282,550,000"
009830,한화솔루션,"41,600",450,1.09,"107,071,137,200","7,957,185,475,200"
272210,한화시스템,"12,580","-1,150",8.38,"35,444,044,840","2,376,605,913,620"
012450,한화에어로스페이스,"92,200","3,200",3.6,"87,510,958,300","4,668,086,000,000"
000720,현대건설,"38,000","-1,000",2.56,"16,355,342,400","4,231,519,070,000"
005440,현대그린푸드,"7,250",240,3.42,"7,354,586,540","708,357,494,500"
086280,현대글로비스,"161,000",-500,0.31,"12,140,967,200","6,037,500,000,000"
042670,현대두산인프라코어,"8,880",-120,1.33,"22,229,715,970","1,756,139,089,680"
064350,현대로템,"25,750",150,0.59,"33,570,598,600","2,810,414,044,750"
012330,현대모비스,"219,000","1,500",0.69,"44,146,300,853","20,648,435,586,000"
010620,현대미포조선,"74,900",-300,0.4,"14,385,641,500","2,991,666,960,100"
069960,현대백화점,"55,300",-400,0.72,"4,289,917,000","1,294,154,987,300"
017800,현대엘리베이,"28,200",-550,1.91,"1,675,250,000","1,150,988,386,200"
011210,현대위아,"55,400",-900,1.6,"9,019,852,100","1,506,607,598,200"
004020,현대제철,"36,450","-1,300",3.44,"26,753,017,550","4,864,098,863,250"
329180,현대중공업,"110,900","-1,100",0.98,"11,172,329,000","9,844,938,564,400"
